,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,videoId,textDisplay,textOriginal,parentId,canRate,viewerRating,likeCount,publishedAt,updatedAt
value,MALNOURISHED PANDA,https://yt3.ggpht.com/a/AGF-l79FxFDvSh9HqGvk5tp5h3Mz_l8FiiGTg5XQWQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCcErNlirLCz_q6qo_DxsWZA,UCcErNlirLCz_q6qo_DxsWZA,q4PWBf04V54,I use a tank,I use a tank,Ugh5fRN9Gv3Uk3gCoAEC,True,none,2,2020-01-01T23:41:17.000Z,2020-01-01T23:41:17.000Z
value,Omar Taylor,https://yt3.ggpht.com/a/AGF-l7_PrVJWsb2sI60Nqc-QzUMDAci_G6ZTGnczTQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCGlOW3Oo1T66a54qDiQFoyw,UCGlOW3Oo1T66a54qDiQFoyw,q4PWBf04V54,Lmao,Lmao,Ugh5fRN9Gv3Uk3gCoAEC,True,none,0,2019-02-05T15:46:18.000Z,2019-02-05T15:46:18.000Z
value,Alonzo T,https://yt3.ggpht.com/a/AGF-l7-bl7OSuP0jpAkD1BABSL0a2jD_x7OV2o_5MQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCMPr0fOL6XVIyxmt32BNMqw,UCMPr0fOL6XVIyxmt32BNMqw,q4PWBf04V54,😂,😂,Ugh5fRN9Gv3Uk3gCoAEC,True,none,0,2018-11-09T21:45:13.000Z,2018-11-09T21:45:13.000Z
value,Djolee,https://yt3.ggpht.com/a/AGF-l7-mPtIKtoMK7DBX2Llt-nCERzcQ6bm8MmvBnQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UClqDTrTvB_9Nj_1V-5VngLg,UClqDTrTvB_9Nj_1V-5VngLg,q4PWBf04V54,max factor  Real man grow beard,max factor  Real man grow beard,Ugh5fRN9Gv3Uk3gCoAEC,True,none,6,2018-06-15T00:43:38.000Z,2018-06-15T00:43:38.000Z
value,RamboNambo (aka Sorpresa),https://yt3.ggpht.com/a/AGF-l7_i7Y6jllDKQWH-6Z19QojKzh9FYkw76MKOmQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC0DJ3XBal8WcotZAz8bdIXA,UC0DJ3XBal8WcotZAz8bdIXA,q4PWBf04V54,Ivan shaves with Machete.,Ivan shaves with Machete.,Ugh5fRN9Gv3Uk3gCoAEC,True,none,2,2018-03-25T04:29:45.000Z,2018-03-25T04:29:45.000Z
value,Mark Humphreys,https://yt3.ggpht.com/a/AGF-l7-Fgu0uvrAuppkvdl0ikLYBn4hyKlz99_hoxA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-iv2cw1IrHrNA5YC2_41zg,UC-iv2cw1IrHrNA5YC2_41zg,q4PWBf04V54,@aramis661 Ooooh Thank you!,@aramis661 Ooooh Thank you!,UggQtSA5hiqeCHgCoAEC,True,none,0,2015-07-14T01:46:50.000Z,2015-07-14T01:46:50.000Z
value,zaki moulen,https://yt3.ggpht.com/a/AGF-l7_fiKBrsQafJwtwOOaQqNnisxdt51-TxwdWjw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCEnBO8EPKhMBd_l89Ik46rg,UCEnBO8EPKhMBd_l89Ik46rg,q4PWBf04V54,Fucking putana...go find men somewhere else his Dadi has with,Fucking putana...go find men somewhere else his Dadi has with,Ughv73DihjRyQXgCoAEC,True,none,0,2018-11-19T00:48:31.000Z,2018-11-19T00:48:31.000Z
value,Mr. Robot,https://yt3.ggpht.com/a/AGF-l78hlMb5B5cTIzHFWJJWtWtKlYOa7evAWseDLA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCP6bAFovPwS5gOC5_ai-ooA,UCP6bAFovPwS5gOC5_ai-ooA,q4PWBf04V54,@La Verga En La Que Te Sientas me,@La Verga En La Que Te Sientas me,Ughv73DihjRyQXgCoAEC,True,none,0,2018-09-20T22:16:36.000Z,2018-09-20T22:16:36.000Z
value,Youngboy,https://yt3.ggpht.com/a/AGF-l78xPukqh1VSXxtfZePu6Iwa9ovl3AUgWOiRZA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCpJL5l0X6gr8jLzOd74-Mpw,UCpJL5l0X6gr8jLzOd74-Mpw,q4PWBf04V54,I know i friken love him,I know i friken love him,Ughv73DihjRyQXgCoAEC,True,none,0,2016-03-25T07:11:27.000Z,2016-03-25T07:11:27.000Z
value,slynomics,https://yt3.ggpht.com/a/AGF-l7-dgdfh822AICLHjgVyNWRWB3jGm-9Pni1phw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCG0p9sU_akbDsm1hsvy-MSA,UCG0p9sU_akbDsm1hsvy-MSA,q4PWBf04V54,+La Verga En La Que Te Sientas hahahahahaga,+La Verga En La Que Te Sientas hahahahahaga,Ughv73DihjRyQXgCoAEC,True,none,0,2016-03-12T11:39:49.000Z,2016-03-12T11:39:49.000Z
value,La Verga En La Que Te Sientas,https://yt3.ggpht.com/a/AGF-l7-gu3XQ_c7u2QPjZp55USoFFYLdwFB4cDpheQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCzRXyiyw0i9Hczof5P0b1VA,UCzRXyiyw0i9Hczof5P0b1VA,q4PWBf04V54,who have bigger dick?,who have bigger dick?,Ughv73DihjRyQXgCoAEC,True,none,12,2015-12-02T12:48:07.000Z,2015-12-02T12:48:07.000Z
value,iraqi beast,https://yt3.ggpht.com/a/AGF-l79vfRoIZzLelYf7gHaGu_eeEqU3A2wnMMDDFQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCgPFUdmRVD_roknDzS_1mvQ,UCgPFUdmRVD_roknDzS_1mvQ,q4PWBf04V54,N Williams tired of the bbc?,N Williams tired of the bbc?,UgipWrVsN5QJingCoAEC,True,none,1,2017-12-13T23:38:58.000Z,2017-12-13T23:38:58.000Z
value,Mark Humphreys,https://yt3.ggpht.com/a/AGF-l7-Fgu0uvrAuppkvdl0ikLYBn4hyKlz99_hoxA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-iv2cw1IrHrNA5YC2_41zg,UC-iv2cw1IrHrNA5YC2_41zg,q4PWBf04V54,Hahahaha! So true!! ,Hahahaha! So true!! ,Ugiy1vf3LJpG5XgCoAEC,True,none,0,2015-05-31T06:10:53.000Z,2015-05-31T06:10:53.000Z
